[96m 
------------------------------- Warm-up Stage ------------------------------- [0m
4000 True 1.0
0 4000
[RL] Updates 25, num timesteps 51200, FPS 509, time 100.52 seconds rewards: 486.476688496998 1363.6993297896274 std: 20.283980601279037 20.18691458921347 tensor([0.2000, 0.8000])
[RL] Updates 26, num timesteps 53248, FPS 509, time 104.45 seconds rewards: 490.2867948106703 1409.7013078932478 std: 11.546547964892117 21.18306797720383 tensor([0.2000, 0.8000])
[RL] Updates 27, num timesteps 55296, FPS 510, time 108.33 seconds rewards: 487.75619237622396 1450.0923099130907 std: 13.05552771726591 16.299334805785595 tensor([0.2000, 0.8000])
[RL] Updates 28, num timesteps 57344, FPS 510, time 112.32 seconds rewards: 486.5791522248361 1494.9263725167457 std: 14.170254299753465 17.305337006189124 tensor([0.2000, 0.8000])
[RL] Updates 29, num timesteps 59392, FPS 510, time 116.29 seconds rewards: 486.1704903642728 1534.9463593011947 std: 10.528715604502336 8.509245085505484 tensor([0.2000, 0.8000])
[RL] Updates 30, num timesteps 61440, FPS 511, time 120.20 seconds rewards: 491.1210926153279 1584.0986359091457 std: 13.258570058387086 15.587658475208096 tensor([0.2000, 0.8000])
[RL] Updates 31, num timesteps 63488, FPS 511, time 124.16 seconds rewards: 492.30235407267656 1635.5724547807756 std: 11.151692009455527 13.54956646544912 tensor([0.2000, 0.8000])
[RL] Updates 32, num timesteps 65536, FPS 511, time 128.13 seconds rewards: 489.21280535480446 1678.8794310260473 std: 21.082199657442946 15.984283003865817 tensor([0.2000, 0.8000])
[RL] Updates 33, num timesteps 67584, FPS 511, time 132.03 seconds rewards: 498.3253840725928 1720.931005007818 std: 6.592101630418318 9.760791916242193 tensor([0.2000, 0.8000])
[RL] Updates 34, num timesteps 69632, FPS 512, time 135.96 seconds rewards: 492.29177011812936 1775.2148884530034 std: 11.747817655730293 16.663275025857896 tensor([0.2000, 0.8000])
[RL] Updates 35, num timesteps 71680, FPS 512, time 139.84 seconds rewards: 497.29711040982636 1828.5533564919583 std: 5.655487252114369 9.434620034495868 tensor([0.2000, 0.8000])
[RL] Updates 36, num timesteps 73728, FPS 512, time 143.81 seconds rewards: 496.1926314170205 1868.9608095409621 std: 8.417302473794823 11.935593466040933 tensor([0.2000, 0.8000])
[RL] Updates 37, num timesteps 75776, FPS 512, time 147.77 seconds rewards: 498.1923118637944 1923.4511908405143 std: 6.903375690195512 9.02909216692061 tensor([0.2000, 0.8000])
[RL] Updates 38, num timesteps 77824, FPS 513, time 151.68 seconds rewards: 496.56690649225857 1966.5328985441222 std: 8.3883702674043 12.282940553914113 tensor([0.2000, 0.8000])
[RL] Updates 39, num timesteps 79872, FPS 513, time 155.65 seconds rewards: 497.504945329271 2004.3961097605613 std: 8.295858458153273 12.767488081308667 tensor([0.2000, 0.8000])
[RL] Updates 40, num timesteps 81920, FPS 513, time 159.65 seconds rewards: 499.748695912115 2046.460618737153 std: 11.047772825586147 11.464665326274613 tensor([0.2000, 0.8000])
[RL] Updates 41, num timesteps 83968, FPS 513, time 163.58 seconds rewards: 502.1851762088677 2083.6903591893265 std: 5.528921979154314 9.795321115908852 tensor([0.2000, 0.8000])
[RL] Updates 42, num timesteps 86016, FPS 513, time 167.59 seconds rewards: 500.1820091332602 2119.9993170381745 std: 4.261440810598819 6.209496234308204 tensor([0.2000, 0.8000])
[RL] Updates 43, num timesteps 88064, FPS 513, time 171.48 seconds rewards: 500.07143946211244 2149.054096934254 std: 2.095719089402849 9.145688853975587 tensor([0.2000, 0.8000])
